number,name,buy,sell,diff
2019-12-02 00:00:00,1519,華城,190,20,170
2019-12-02 00:00:00,1515,力山,511,1516,-1005
2019-12-02 00:00:00,2352,佳世達,783,2861,-2078
2019-12-02 00:00:00,2454,聯發科,1277,2067,-790
2019-12-02 00:00:00,1301,台塑,2504,765,1739
2019-12-02 00:00:00,3363,上詮,97,13,84
2019-12-02 00:00:00,9934,成霖,81,214,-133
2019-12-02 00:00:00,2006,東和鋼鐵,443,25,418
2019-12-02 00:00:00,2393,億光,1185,632,553
2019-12-02 00:00:00,2388,威盛,77,19,58
2019-12-02 00:00:00,6669,緯穎,364,237,127
2019-12-02 00:00:00,6271,同欣電,196,653,-457
2019-12-02 00:00:00,2605,新興,177,49,128
2019-12-02 00:00:00,3083,網龍,153,247,-94
2019-12-02 00:00:00,4938,和碩,6655,3464,3191
2019-12-02 00:00:00,2610,華航,2011,3211,-1200
2019-12-02 00:00:00,5871,中租-KY,681,603,78
2019-12-02 00:00:00,3264,欣銓,91,265,-174
2019-12-02 00:00:00,6125,廣運,23,299,-276
2019-12-02 00:00:00,9904,寶成,2739,4253,-1514
2019-12-02 00:00:00,2402,毅嘉,41,272,-231
2019-12-02 00:00:00,9951,皇田,1,150,-149
2019-12-02 00:00:00,2458,義隆,139,1094,-955
2019-12-02 00:00:00,1477,聚陽,167,1272,-1105
2019-12-02 00:00:00,6452,康友-KY,47,652,-605
2019-12-02 00:00:00,6414,樺漢,259,148,111
2019-12-02 00:00:00,2889,國票金,231,54,177
2019-12-02 00:00:00,2338,光罩,1003,563,440
2019-12-02 00:00:00,2448,晶電,2035,2732,-697
2019-12-02 00:00:00,3702,大聯大,420,612,-192
2019-12-02 00:00:00,1802,台玻,711,147,564
2019-12-02 00:00:00,2887,台新金,5485,6261,-776
2019-12-02 00:00:00,1103,嘉泥,233,334,-101
2019-12-02 00:00:00,3515,華擎,126,23,103
2019-12-02 00:00:00,9914,美利達,125,224,-99
2019-12-02 00:00:00,6449,鈺邦,102,30,72
2019-12-02 00:00:00,2104,國際中橡,99,323,-224
2019-12-02 00:00:00,3533,嘉澤,533,151,382
2019-12-02 00:00:00,3711,日月光投控,2288,1887,401
2019-12-02 00:00:00,6219,富旺,166,80,86
2019-12-02 00:00:00,3437,榮創,254,140,114
2019-12-02 00:00:00,2401,凌陽,23,250,-227
2019-12-02 00:00:00,9938,百和,90,235,-145
2019-12-02 00:00:00,3218,大學光,168,85,83
2019-12-02 00:00:00,2392,正崴,617,831,-214
2019-12-02 00:00:00,4438,廣越,72,13,59
2019-12-02 00:00:00,3056,總太,306,68,238
2019-12-02 00:00:00,3680,家登,563,322,241
2019-12-02 00:00:00,3338,泰碩,268,469,-201
2019-12-02 00:00:00,4958,臻鼎-KY,1953,1454,499
2019-12-02 00:00:00,1605,華新,504,1020,-516
2019-12-02 00:00:00,8081,致新,319,125,194
2019-12-02 00:00:00,00642U,元大S&P石油,1,1317,-1316
2019-12-02 00:00:00,2349,錸德,346,494,-148
2019-12-02 00:00:00,6541,泰福-KY,0,170,-170
2019-12-02 00:00:00,2812,台中銀,84,1107,-1023
2019-12-02 00:00:00,3090,日電貿,172,46,126
2019-12-02 00:00:00,3481,群創,40362,41113,-751
2019-12-02 00:00:00,4306,炎洲,117,45,72
2019-12-02 00:00:00,2357,華碩,562,752,-190
2019-12-02 00:00:00,1718,中纖,619,127,492
2019-12-02 00:00:00,3049,和鑫,155,1725,-1570
2019-12-02 00:00:00,2355,敬鵬,37,1043,-1006
2019-12-02 00:00:00,1314,中石化,682,4594,-3912
2019-12-02 00:00:00,4119,旭富,161,36,125
2019-12-02 00:00:00,3704,合勤控,135,345,-210
2019-12-02 00:00:00,2327,國巨,1686,1509,177
2019-12-02 00:00:00,6197,佳必琪,111,260,-149
2019-12-02 00:00:00,2367,燿華,1092,20925,-19833
2019-12-02 00:00:00,2387,精元,98,793,-695
2019-12-02 00:00:00,6538,倉和,436,99,337
2019-12-02 00:00:00,2845,遠東銀,116,813,-697
2019-12-02 00:00:00,2206,三陽工業,2,409,-407
2019-12-02 00:00:00,8422,可寧衛,10,113,-103
2019-12-02 00:00:00,2428,興勤,288,16,272
2019-12-02 00:00:00,2603,長榮,998,6488,-5490
2019-12-02 00:00:00,2101,南港,2052,192,1860
2019-12-02 00:00:00,4414,如興,765,706,59
2019-12-02 00:00:00,2548,華固,446,118,328
2019-12-02 00:00:00,2456,奇力新,798,1869,-1071
2019-12-02 00:00:00,2542,興富發,201,456,-255
2019-12-02 00:00:00,8463,潤泰材,185,85,100
2019-12-02 00:00:00,3036,文曄,7487,7374,113
2019-12-02 00:00:00,9958,世紀鋼,179,326,-147
2019-12-02 00:00:00,5340,建榮,94,33,61
2019-12-02 00:00:00,3703,欣陸,11,149,-138
2019-12-02 00:00:00,6257,矽格,1471,377,1094
2019-12-02 00:00:00,1309,台達化,4,196,-192
2019-12-02 00:00:00,1582,信錦,157,21,136
2019-12-02 00:00:00,9136,巨騰-DR,89,9,80
2019-12-02 00:00:00,5264,鎧勝-KY,611,1822,-1211
2019-12-02 00:00:00,2809,京城銀,30,390,-360
2019-12-02 00:00:00,2478,大毅,104,219,-115
2019-12-02 00:00:00,6230,超眾,475,102,373
2019-12-02 00:00:00,1434,福懋,182,806,-624
2019-12-02 00:00:00,2633,台灣高鐵,836,169,667
2019-12-02 00:00:00,8358,金居,559,441,118
2019-12-02 00:00:00,2412,中華電,1181,1688,-507
2019-12-02 00:00:00,2634,漢翔,44,1070,-1026
2019-12-02 00:00:00,3031,佰鴻,228,57,171
2019-12-02 00:00:00,5274,信驊,124,36,88
2019-12-02 00:00:00,3234,光環,206,102,104
2019-12-02 00:00:00,2324,仁寶,5771,5414,357
2019-12-02 00:00:00,1590,亞德客-KY,264,179,85
2019-12-02 00:00:00,4560,強信-KY,162,94,68
2019-12-02 00:00:00,2903,遠百,215,139,76
2019-12-02 00:00:00,1907,永豐餘,196,60,136
2019-12-02 00:00:00,6144,得利影,20,299,-279
2019-12-02 00:00:00,2383,台光電,840,750,90
2019-12-02 00:00:00,6443,元晶,22,129,-107
2019-12-02 00:00:00,3380,明泰,50,370,-320
