number,name,buy,sell,diff
2454,聯發科,1875,5303,-3428
1402,遠東新,2160,5489,-3329
00655L,國泰中國A50正2,6,3222,-3216
2845,遠東銀,32,3085,-3053
1216,統一,4849,7771,-2922
2382,廣達,2684,5346,-2662
2371,大同,4326,6958,-2632
2474,可成,1837,4433,-2596
2892,第一金,2553,5123,-2570
5876,上海商銀,2065,4496,-2431
2368,金像電,1043,3248,-2205
2002,中鋼,3672,5781,-2109
6505,台塑化,436,2537,-2101
00633L,富邦上証正2,67,2165,-2098
1314,中石化,1710,3581,-1871
2449,京元電子,1667,3526,-1859
2834,臺企銀,3203,4839,-1636
2633,台灣高鐵,938,2510,-1572
2377,微星,347,1908,-1561
9945,潤泰新,280,1812,-1532
9904,寶成,1772,3287,-1515
2352,佳世達,45,1496,-1451
2105,正新,646,1996,-1350
1504,東元,2021,3366,-1345
5264,鎧勝-KY,834,2165,-1331
3017,奇鋐,434,1741,-1307
4904,遠傳,515,1810,-1295
2801,彰銀,1429,2713,-1284
1312,國喬,23,1306,-1283
5820,日盛金,438,1702,-1264
2301,光寶科,1658,2901,-1243
2347,聯強,666,1902,-1236
3711,日月光投控,3991,5179,-1188
5521,工信,226,1407,-1181
6005,群益證,741,1918,-1177
2353,宏碁,1294,2462,-1168
2383,台光電,382,1544,-1162
2515,中工,102,1223,-1121
3702,大聯大,824,1926,-1102
8213,志超,93,1187,-1094
2618,長榮航,1295,2312,-1017
3029,零壹,208,1210,-1002
2327,國巨,561,1560,-999
2356,英業達,2536,3516,-980
2317,鴻海,15965,16934,-969
8039,台虹,200,1163,-963
8046,南電,393,1352,-959
2385,群光,656,1580,-924
1210,大成,207,1126,-919
2376,技嘉,708,1601,-893
4915,致伸,334,1225,-891
2312,金寶,288,1165,-877
5469,瀚宇博,166,1042,-876
8110,華東,189,1059,-870
1326,台化,1222,2091,-869
1102,亞泥,2992,3843,-851
2929,淘帝-KY,16,842,-826
2106,建大,14,815,-801
2412,中華電,1283,2073,-790
6451,訊芯-KY,223,998,-775
3706,神達,178,952,-774
3324,雙鴻,87,855,-768
3605,宏致,59,826,-767
2903,遠百,183,936,-753
5871,中租-KY,704,1454,-750
5347,世界,1187,1936,-749
2889,國票金,26,772,-746
3078,僑威,142,877,-735
6288,聯嘉,205,914,-709
1303,南亞,2165,2858,-693
4943,康控-KY,137,826,-689
4927,泰鼎-KY,187,872,-685
3653,健策,119,772,-653
3003,健和興,154,797,-643
2915,潤泰全,222,837,-615
2344,華邦電,6304,6913,-609
1434,福懋,238,817,-579
2355,敬鵬,20,593,-573
6239,力成,560,1132,-572
2349,錸德,166,728,-562
3035,智原,395,951,-556
4157,太景*-KY,139,690,-551
2354,鴻準,336,872,-536
2324,仁寶,6527,7057,-530
2634,漢翔,55,585,-530
1310,台苯,99,624,-525
2456,奇力新,964,1478,-514
3661,世芯-KY,289,798,-509
2542,興富發,471,977,-506
1909,榮成,157,662,-505
4139,馬光-KY,0,500,-500
2615,萬海,86,585,-499
4142,國光生,157,651,-494
2204,中華,40,528,-488
2023,燁輝,55,537,-482
6213,聯茂,375,856,-481
2014,中鴻,23,498,-475
3545,敦泰,1246,1720,-474
1714,和桐,7,479,-472
8926,台汽電,17,486,-469
00636,國泰中國A50,54,508,-454
3338,泰碩,1375,1829,-454
3189,景碩,715,1169,-454
2499,東貝,311,758,-447
8150,南茂,2218,2663,-445
1515,力山,57,497,-440
3673,TPK-KY,85,520,-435
1464,得力,175,596,-421
2421,建準,408,828,-420
9910,豐泰,265,682,-417
2206,三陽工業,6,411,-405
3380,明泰,5,402,-397
3038,全台,45,434,-389
2637,慧洋-KY,46,433,-387
3049,和鑫,88,471,-383
2489,瑞軒,14,393,-379
1409,新纖,67,436,-369
4919,新唐,214,582,-368
8299,群聯,131,495,-364
1201,味全,24,383,-359
1440,南紡,10,365,-355
5388,中磊,42,395,-353
9935,慶豐富,325,675,-350
8086,宏捷科,457,805,-348
6153,嘉聯益,1700,2047,-347
5522,遠雄,33,378,-345
1305,華夏,99,424,-325
1477,聚陽,116,439,-323
2812,台中銀,475,798,-323
4977,眾達-KY,140,456,-316
6138,茂達,220,535,-315
1789,神隆,116,429,-313
1103,嘉泥,79,383,-304
2481,強茂,163,461,-298
3704,合勤控,56,354,-298
4532,瑞智,34,328,-294
5512,力麒,0,292,-292
1786,科妍,74,365,-291
2809,京城銀,21,302,-281
2387,精元,16,296,-280
6541,泰福-KY,0,279,-279
2511,太子,55,333,-278
3376,新日興,139,417,-278
4540,全球傳動,16,290,-274
8044,網家,11,285,-274
3045,台灣大,1097,1361,-264
6191,精成科,20,279,-259
2820,華票,28,284,-256
3452,益通,0,250,-250
3005,神基,317,564,-247
3034,聯詠,914,1160,-246
2458,義隆,148,394,-246
2501,國建,25,268,-243
3090,日電貿,286,519,-233
2338,光罩,284,516,-232
2345,智邦,1361,1592,-231
6188,廣明,101,331,-230
1514,亞力,0,226,-226
1604,聲寶,18,242,-224
2201,裕隆,359,582,-223
2442,新美齊,18,241,-223
4536,拓凱,12,233,-221
3576,聯合再生,113,333,-220
2472,立隆電,85,302,-217
5243,乙盛-KY,6,222,-216
3026,禾伸堂,107,320,-213
8358,金居,602,815,-213
9939,宏全,125,334,-209
6271,同欣電,136,343,-207
9907,統一實,168,374,-206
3081,聯亞,37,241,-204
3551,世禾,39,240,-201
2498,宏達電,456,654,-198
3682,亞太電,1119,1311,-192
6414,樺漢,99,291,-192
4746,台耀,51,243,-192
4908,前鼎,164,354,-190
3703,欣陸,7,195,-188
